,ftot = 1ml/min; qwater = 98%,ftot = 5ml/min; qwater = 98%,ftot = 5ml/min; qwater = 60%
1,149.276742,104.1096,527.695291
2,167.930255,105.414395,462.779233
3,145.332953,108.430325,516.697903
4,156.067518,108.644531,554.754443
5,163.718871,107.1857,462.228811
6,135.125714,106.535454,493.876183
7,159.071969,110.015914,852.234125
8,186.518216,112.358854,597.017344
9,149.496324,108.06887,384.166084
10,143.318244,109.513819,562.690657
11,172.340988,114.898759,441.73272
12,170.935395,109.776977,416.386884
13,146.312861,105.680332,529.401137
14,168.291052,111.442173,456.707143
