Experiment no. ,Measurement name,size,
1mg/ml,Exp 1_water 0.98_polymer 0.02,117.5,
,Exp 2_water 0.98_polymer 0.02,121.8,
,Exp 3_water 0.98_polymer 0.02,114.4,
,Exp 4_water 0.95_polymer 0.05,123.9,
,Exp 5_water 0.95_polymer 0.05,114.8,
,Exp 6_water 0.95_polymer 0.05,115.7,
,Exp 7_water 0.9_polymer 0.1,164.2,
,Exp 8_water 0.9_polymer 0.1,149.1,
,Exp 9_water 0.9_polymer 0.1,175.4,
,Exp 10_water 0.8_polymer 0.2,149.2,
,Exp 11_water 0.8_polymer 0.2,122.1,
,Exp 12_water 0.8_polymer 0.2,139.8,
,Exp 13_water 0.7_polymer 0.3,186.9,
,Exp 14_water 0.7_polymer 0.3,186.8,
,Exp 15_water 0.7_polymer 0.3,243.0,
,Exp 16_water 0.6_polymer 0.4,187.8,
,Exp 17_water 0.6_polymer 0.4,240.8,
,Exp 18_water 0.6_polymer 0.4,230.7,
,Exp 19_water 0.5_polymer 0.5,210.4,
,Exp 20_water 0.5_polymer 0.5,263.4,
,Exp 21_water 0.5_polymer 0.5,265.0,
,Exp 22_water 1.96_polymer 0.04,109.1,
,Exp 23_water 1.96_polymer 0.04,101.8,
,Exp 24_water 1.9_polymer 0.1,117.5,
,Exp 25_water 1.9_polymer 0.1,117.3,
,Exp 26_water 1.8_polymer 0.2,180.1,
,Exp 27_water 1.8_polymer 0.2,142.9,
,Exp 28_water 1.6_polymer 0.4,234.0,
,Exp 29_water 1.6_polymer 0.4,166.2,
,Exp 30_water 1.4_polymer 0.6,186.8,
,Exp 31_water 1.4_polymer 0.6,198.5,
,Exp 32_water 1.2_polymer 0.8,254.9,
,Exp 33_water 1.2_polymer 0.8,279.6,
,Exp 34_water 1.0_polymer 1.0,398.4,
,Exp 35_water 1.0_polymer 1.0,890.1,
,Exp 36_water 2.94_polymer 0.06,87.6,
,Exp 37_water 2.94_polymer 0.06,86.4,
,Exp 38_water 2.85_polymer 0.15,110.6,
,Exp 39_water 2.85_polymer 0.15,113.3,
,Exp 40_water 2.7_polymer 0.3,134.1,
,Exp 41_water 2.7_polymer 0.3,147.2,
,Exp 42_water 2.4_polymer 0.6,185.6,
,Exp 43_water 2.4_polymer 0.6,193.9,
,Exp 44_water 2.1_polymer 0.9,253.4,
,Exp 45_water 2.1_polymer 0.9,279.6,
,Exp 46_water 1.8_polymer 1.2,342.3,
,Exp 47_water 1.8_polymer 1.2,376.7,
,Exp 48_water 1.5_polymer 1.5,39.0,
,Exp 49_water 1.5_polymer 1.5,383.1,
,Exp 50_water 3.92_polymer 0.08,83.8,
,Exp 51_water 3.92_polymer 0.08,83.3,
,Exp 52_water 3.8_polymer 0.2,84.8,
,Exp 53_water 3.8_polymer 0.2,78.6,
,Exp 54_water 3.6_polymer 0.4,100.4,
,Exp 55_water 3.6_polymer 0.4,116.5,
,Exp 56_water 3.2_polymer 0.8,209.0,
,Exp 57_water 3.2_polymer 0.8,208.1,
,Exp 58_water 2.8_polymer 1.2,262.5,
,Exp 59_water 2.8_polymer 1.2,261.8,
,Exp 60_water 2.4_polymer 1.6,403.1,
,Exp 61_water 2.4_polymer 1.6,512.7,
,Exp 62_water 2.0_polymer 2.0,36.6,
,Exp 63_water 2.0_polymer 2.0,40.9,
,Exp 64_water 4.9_polymer 0.1,79.5,
,Exp 65_water 4.9_polymer 0.1,82.3,
,Exp 66_water 4.75_polymer 0.25,70.3,
,Exp 67_water 4.75_polymer 0.25,70.9,
,Exp 68_water 4.5_polymer 0.5,89.7,
,Exp 69_water 4.5_polymer 0.5,81.2,
,Exp 70_water 4.0_polymer 1.0,156.8,
,Exp 71_water 4.0_polymer 1.0,153.2,
,Exp 72_water 3.5_polymer 1.5,254.3,
,Exp 73_water 3.5_polymer 1.5,255.5,
,Exp 74_water 3.0_polymer 2.0,574.9,
,Exp 75_water 3.0_polymer 2.0,532.5,
,Exp 76_water 2.5_polymer 2.5,37.2,
,Exp 77_water 2.5_polymer 2.5,36.8,
5mg/ml,Exp 1_water 0.98_polymer 0.02,197.6,
,Exp 2_water 0.98_polymer 0.02,100.5,
,Exp 3_water 0.98_polymer 0.02,123.5,
,Exp 4_water 0.95_polymer 0.05,164.6,
,Exp 5_water 0.95_polymer 0.05,144.8,
,Exp 6_water 0.95_polymer 0.05,156.3,
,Exp 7_water 0.9_polymer 0.1,210.1,
,Exp 8_water 0.9_polymer 0.1,190.6,
,Exp 9_water 0.9_polymer 0.1,170.0,
,Exp 10_water 0.8_polymer 0.2,208.2,
,Exp 11_water 0.8_polymer 0.2,248.7,
,Exp 12_water 0.8_polymer 0.2,168.5,
,Exp 13_water 0.7_polymer 0.3,224.4,
,Exp 14_water 0.7_polymer 0.3,215.8,
,Exp 15_water 0.7_polymer 0.3,237.5,
,Exp 16_water 0.6_polymer 0.4,215.5,
,Exp 17_water 0.6_polymer 0.4,250.6,
,Exp 18_water 0.6_polymer 0.4,273.7,
,Exp 19_water 0.5_polymer 0.5,302.3,
,Exp 20_water 0.5_polymer 0.5,297.0,
,Exp 21_water 0.5_polymer 0.5,326.1,
,Exp 22_water 1.96_polymer 0.04,134.7,
,Exp 23_water 1.96_polymer 0.04,128.8,
,Exp 24_water 1.9_polymer 0.1,162.7,
,Exp 25_water 1.9_polymer 0.1,163.9,
,Exp 26_water 1.8_polymer 0.2,204.5,
,Exp 27_water 1.8_polymer 0.2,191.8,
,Exp 28_water 1.6_polymer 0.4,362.2,
,Exp 29_water 1.6_polymer 0.4,241.9,
,Exp 30_water 1.4_polymer 0.6,242.2,
,Exp 31_water 1.4_polymer 0.6,255.6,
,Exp 32_water 1.2_polymer 0.8,365.8,
,Exp 33_water 1.2_polymer 0.8,343.3,
,Exp 34_water 1.0_polymer 1.0,923.4,
,Exp 35_water 1.0_polymer 1.0,425.0,
,Exp 36_water 2.94_polymer 0.06,143.4,
,Exp 37_water 2.94_polymer 0.06,128.1,
,Exp 38_water 2.85_polymer 0.15,153.0,
,Exp 39_water 2.85_polymer 0.15,152.2,
,Exp 40_water 2.7_polymer 0.3,174.7,
,Exp 41_water 2.7_polymer 0.3,167.2,
,Exp 42_water 2.4_polymer 0.6,246.3,
,Exp 43_water 2.4_polymer 0.6,212.3,
,Exp 44_water 2.1_polymer 0.9,310.5,
,Exp 45_water 2.1_polymer 0.9,308.7,
,Exp 46_water 1.8_polymer 1.2,1065.5,
,Exp 47_water 1.8_polymer 1.2,425.0,
,Exp 48_water 1.5_polymer 1.5,377.6,
,Exp 49_water 1.5_polymer 1.5,894.4,
,Exp 50_water 3.92_polymer 0.08,132.4,
,Exp 51_water 3.92_polymer 0.08,121.4,
,Exp 52_water 3.8_polymer 0.2,129.9,
,Exp 53_water 3.8_polymer 0.2,125.3,
,Exp 54_water 3.6_polymer 0.4,162.4,
,Exp 55_water 3.6_polymer 0.4,164.8,
,Exp 56_water 3.2_polymer 0.8,200.4,
,Exp 57_water 3.2_polymer 0.8,222.9,
,Exp 58_water 2.8_polymer 1.2,312.8,
,Exp 59_water 2.8_polymer 1.2,287.2,
,Exp 60_water 2.4_polymer 1.6,1041.9,
,Exp 61_water 2.4_polymer 1.6,682.3,
,Exp 62_water 2.0_polymer 2.0,45.8,
,Exp 63_water 2.0_polymer 2.0,45.6,
,Exp 64_water 4.9_polymer 0.1,115.5,
,Exp 65_water 4.9_polymer 0.1,113.2,
,Exp 66_water 4.75_polymer 0.25,117.7,
,Exp 67_water 4.75_polymer 0.25,128.7,
,Exp 68_water 4.5_polymer 0.5,148.7,
,Exp 69_water 4.5_polymer 0.5,149.4,
,Exp 70_water 4.0_polymer 1.0,194.4,
,Exp 71_water 4.0_polymer 1.0,205.8,
,Exp 72_water 3.5_polymer 1.5,281.7,
,Exp 73_water 3.5_polymer 1.5,283.0,
,Exp 74_water 3.0_polymer 2.0,1243.3,
,Exp 75_water 3.0_polymer 2.0,1409.5,
,Exp 76_water 2.5_polymer 2.5,38.0,
,Exp 77_water 2.5_polymer 2.5,40.0,
