iteration,P4,target P4,P7,target P7,P6,target P6
7,265.1986,,,254.3634,154.8307,
8,220.321,,,271.4998,420.5974,
9,32.98576,,129.5995,,279.135,
10,27.97594,,401.1335,,160.7516,
11,258.6526,,525.1422,,176.3855,
12,36.98696,,139.3386,,304.2485,
13,263.9275,,583.0333,,150.5704,
14,255.2068,,595.3832,,264.0413,
15,226.0871,,160.324,,258.7319,
16,396.5235,,120.9492,,,193.6528
17,269.6548,,161.2009,,,184.8553
18,244.2215,,136.9416,,155.2243,
19,221.0428,,266.0629,,,145.4388
20,472.4879,,336.0145,,,153.2416
21,264.8428,,114.278,,153.8821,
22,,285.03,539.9243,,259.9331,
23,,270.6913,261.3307,,215.905,
24,233.5077,,134.5517,,147.0848,
25,304.6021,,206.7725,,245.0967,
26,66.43651,,111.5168,,148.4187,
27,,249.923,154.3339,,150.4009,
28,,241.6773,171.0044,,201.803,
29,361.8932,,,182.8739,147.059,
30,79.42249,,,185.7912,207.0784,
31,335.6913,,125.6279,,169.8709,
32,,198.9531,125.1443,,137.1966,
33,,217.1361,112.4745,,,131.6181
34,,,147.8679,,,142.4201
35,,,127.4433,,,
36,,,138.235,138.235,,
37,,,146.6728,146.6728,,
